members,star,tree,thread
3,27.65,28.56,27.13
4,27.95,28.78,26.99
5,28.76,29.1,27.14
6,28.44,29.38,27.38
7,28.86,29.52,27.47
8,29.24,30.63,27.84
9,29.31,30.81,27.37
10,29.81,30.52,28.02
15,31.48,31.93,28.16
20,33.13333333333333,33.00833333333333,28.716666666666665
25,35.373333333333335,34.53333333333333,29.38
30,37.21111111111111,36.611111111111114,30.183333333333334
50,44.39666666666667,43.79,32.98
75,53.035555555555554,52.028888888888886,36.40222222222222
100,62.098333333333336,59.77166666666667,40.471666666666664
200,96.9375,80.04083333333334,52.06666666666667
